"","event_short","strata","ID","V","n_strata","N","w_strata","sd","n_neymans","n_equal","n_prop","tier","block","construct","construct2","row","column","event"
"1","13-15E",3,"LCOR-306",5304.5620032158,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",10,18,"LC-102 13-15E"
"2","13-15E",3,"LCOR-076",9291.3874505382,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",7,9,"LC-102 13-15E"
"3","13-15E",2,"LCOR-613",3212.81846528889,11,32,0.34375,579.135989308229,2.74640059079252,5.33333333333333,5.5,"poor","large","LC-102","transgenic",7,26,"LC-102 13-15E"
"4","13-15E",1,"LCOR-614",1248.26484074625,11,32,0.34375,553.724874726346,2.62589504220152,5.33333333333333,5.5,"poor","large","LC-102","transgenic",15,16,"LC-102 13-15E"
"5","13-15E",2,"LCOR-303",3294.07955784193,11,32,0.34375,579.135989308229,2.74640059079252,5.33333333333333,5.5,"poor","large","LC-102","transgenic",8,12,"LC-102 13-15E"
"6","13-15E",1,"LCOR-607",827.045624948965,11,32,0.34375,553.724874726346,2.62589504220152,5.33333333333333,5.5,"poor","large","LC-102","transgenic",6,4,"LC-102 13-15E"
"7","13-15E",2,"LCOR-308",2292.9816001124,11,32,0.34375,579.135989308229,2.74640059079252,5.33333333333333,5.5,"poor","large","LC-102","transgenic",3,4,"LC-102 13-15E"
"8","13-15E",3,"LCOR-084",7225.20489104363,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",13,24,"LC-102 13-15E"
"9","13-15E",2,"LCOR-616",2587.65078974475,11,32,0.34375,579.135989308229,2.74640059079252,5.33333333333333,5.5,"poor","large","LC-102","transgenic",2,22,"LC-102 13-15E"
"10","13-15E",1,"LCOR-605",1764.82663220638,11,32,0.34375,553.724874726346,2.62589504220152,5.33333333333333,5.5,"poor","large","LC-102","transgenic",3,26,"LC-102 13-15E"
"11","13-15E",3,"LCOR-073",5224.16518452156,10,32,0.3125,2466.50189598857,10.6333987014398,5.33333333333333,5,"poor","large","LC-102","transgenic",3,7,"LC-102 13-15E"
"12","13-15E",1,"LCOR-083",1862.45405289998,11,32,0.34375,553.724874726346,2.62589504220152,5.33333333333333,5.5,"poor","large","LC-102","transgenic",15,28,"LC-102 13-15E"
"13","13-15E",2,"LCOR-300",2116.91364174207,11,32,0.34375,579.135989308229,2.74640059079252,5.33333333333333,5.5,"poor","large","LC-102","transgenic",8,26,"LC-102 13-15E"
"14","13-15E",1,"LCOR-080",1074.22453966477,11,32,0.34375,553.724874726346,2.62589504220152,5.33333333333333,5.5,"poor","large","LC-102","transgenic",14,19,"LC-102 13-15E"
"15","CT3",2,"LCOR-348",3769.76104712006,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",8,24,"CT717 3"
"16","CT3",2,"LCOR-337",3673.90820389137,11,34,0.323529411764706,506.413388056828,3.84324102317109,5.66666666666667,5.5,"WT","large","Control","control",10,28,"CT717 3"
