SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,03:53:52,2023-08-02,Night sampling,CH,,,,,4.565001,2.919827,1.780804,4.275034,1.438456,1.318247,1.677246,0.238790,13.048338,14.238194,16.601797,0.441786,PSF-00281_20230802035352,83.026169,431.120758,0.807418,0.000000,0.000000,0.000000,0.5,0.80,0.084546,63.81,58.48,19.35,14.69,101.03,156.5,156.8,-0.2,0,4.090,-5,139,161,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.228,0.705,1.544,-0.229,0.391,0.263,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.501224,2.534117,1.658720,0.932600,0.341979,-0.047592,0.094584,0.106759,82.830902,0.000874,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035352,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
2,03:54:10,2023-08-02,Night sampling,CH,,,,,2.779160,2.919877,1.423891,3.827221,1.416055,1.308414,1.683446,0.267392,12.950624,14.016041,16.662672,0.441786,PSF-00281_20230802035410,78.588722,387.025940,0.796942,0.000000,0.000000,0.000000,0.5,0.80,0.028279,63.43,58.61,19.20,14.74,101.03,156.5,157.8,-0.9,0,4.115,4,116,170,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,-0.019,0.210,1.026,0.289,0.460,0.546,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.501413,2.533651,1.658773,0.935362,0.344125,-0.045350,0.096479,0.106598,78.588722,0.000871,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035410,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3,03:54:41,2023-08-02,Night sampling,CH,,,,,4.417346,2.918639,1.757452,3.947957,1.421622,1.310489,1.645124,0.223502,12.971738,14.071775,16.284090,0.441786,PSF-00281_20230802035441,82.075951,411.571381,0.800579,0.000000,0.000000,0.000000,0.5,0.80,0.015723,64.60,59.55,18.97,14.39,101.03,156.3,158.0,-1.1,0,4.115,-62,-165,24,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.481,0.856,1.891,-0.100,0.021,0.298,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.502625,2.535181,1.657455,0.935704,0.347312,-0.046535,0.099657,0.106562,82.075951,0.000871,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035441,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
4,03:54:58,2023-08-02,Night sampling,CH,,,,,3.211891,2.917134,1.528712,3.746832,1.418638,1.313040,1.662469,0.243831,12.997311,14.042579,16.456175,0.441786,PSF-00281_20230802035458,82.130310,393.076294,0.791058,0.000000,0.000000,0.000000,0.5,0.80,0.017362,64.97,60.13,18.84,14.55,101.02,156.1,158.1,-1.2,0,4.115,-61,-171,50,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.057,0.313,0.842,0.158,0.171,0.281,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503370,2.535669,1.655858,0.935920,0.349054,-0.043563,0.101412,0.106567,82.130310,0.000852,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035458,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
5,03:55:37,2023-08-02,Night sampling,CH,,,,,6.513008,2.918749,2.015514,4.680292,1.418416,1.286678,1.649446,0.231030,12.736296,14.040317,16.327190,0.441786,PSF-00281_20230802035537,86.512688,421.397217,0.794700,0.000000,0.000000,0.000000,0.5,0.80,0.075268,66.08,59.94,18.57,14.43,101.02,156.3,158.3,-1.2,0,4.114,-38,165,201,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.118,0.472,1.328,0.095,0.090,0.481,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.503182,2.537130,1.657572,0.936450,0.352920,-0.041891,0.105435,0.106736,86.512688,0.000863,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035537,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
6,03:55:57,2023-08-02,Night sampling,CH,,,,,4.693191,2.918997,1.799668,4.097437,1.409499,1.294181,1.636039,0.226540,12.810722,13.952228,16.194683,0.441786,PSF-00281_20230802035557,79.974533,361.675873,0.778878,0.000000,0.000000,0.000000,0.5,0.80,0.072211,66.24,60.82,18.43,14.30,101.02,156.4,158.2,-1.2,0,4.113,-59,154,125,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.052,0.190,0.764,0.087,0.501,0.642,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.504295,2.537352,1.657835,0.936415,0.354895,-0.041702,0.107507,0.106732,79.974533,0.000864,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035557,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
7,03:56:25,2023-08-02,Night sampling,CH,,,,,3.461166,2.920078,1.583841,3.232576,1.400388,1.309481,1.603504,0.203116,12.962466,13.862344,15.872972,0.441786,PSF-00281_20230802035625,84.210632,367.651459,0.770950,0.000000,0.000000,0.000000,0.5,0.80,0.177742,66.59,62.27,18.24,13.99,101.02,156.5,158.0,-0.9,1,4.113,-38,-174,210,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,0.299,0.518,1.077,-0.337,0.020,-0.020,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.506125,2.537830,1.658987,0.935695,0.357595,-0.042851,0.110475,0.107052,84.210632,0.000853,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035625,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
8,03:56:44,2023-08-02,Night sampling,CH,,,,,0.811855,2.920034,0.635240,1.886208,1.364264,1.311202,1.659715,0.295451,12.980337,13.505624,16.430464,0.441786,PSF-00281_20230802035644,92.295883,396.770233,0.767382,0.000000,0.000000,0.000000,0.5,0.80,0.077874,65.38,62.83,18.12,14.52,101.01,156.5,158.2,-1.1,0,4.111,-70,163,358,,,,,,,,00:00:00,0000-00-00,0.000000,0.000000,0.000000,0,0.000000,03:50:28,2023-08-02,-0.46,-0.136,-0.212,-0.078,-0.006,-0.028,0.165,0,150,-9999.000,-9999.000000,1,rectangular,6000,5,-9999.000000,-9999.000000,55537,55537,55537,0.000000,-9999,0.000000,0.000000,0.000000,0.000000,2.506845,2.536299,1.658941,0.936260,0.359368,-0.036145,0.112489,0.106752,92.295883,0.000846,2.413877,-0.000026,1.000000,2.436657,-0.000021,1.000000,0.600512,0.600643,0.106516,0.000000,PSF-00281_20230802035644,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
